number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
70,0.7007801225125473,2026-08-26 17:27:43.086987,2026-08-26 17:27:43.524981,0 days 00:00:00.437994,1.0950148277055529e-07,,entropy,21,0.4,15,65,best,0.7007801225125473,0.010166662543699828,"[0.7057940170440901, 0.7066444423827517, 0.7056598266983877, 0.705337164152052, 0.6804651622854548]",COMPLETE
71,0.7685212206089935,2026-08-26 17:27:43.525298,2026-08-26 17:27:44.523440,0 days 00:00:00.998142,5.889840431293383e-09,,entropy,18,0.8,4,5,best,0.7685212206089935,0.009512434727999342,"[0.7650172208611233, 0.777827724192857, 0.7794452896234177, 0.7670251987625903, 0.7532906696049791]",COMPLETE
72,0.7551204751267697,2026-08-26 17:27:44.523819,2026-08-26 17:27:45.511948,0 days 00:00:00.988129,6.861070082776293e-09,,entropy,23,0.8,9,8,best,0.7551204751267697,0.006058320405101443,"[0.7562122046863803, 0.7486603998843925, 0.7655651400194067, 0.7495313933656572, 0.7556332376780118]",COMPLETE
73,0.7654656406116802,2026-08-26 17:27:45.512300,2026-08-26 17:27:46.519026,0 days 00:00:01.006726,2.9957249097817745e-08,,entropy,18,0.8,3,12,best,0.7654656406116802,0.0033615466249434698,"[0.762138490772207, 0.7719008577787093, 0.7637803888169407, 0.7650421190079535, 0.7644663466825907]",COMPLETE
74,0.7447586360556118,2026-08-26 17:27:46.519342,2026-08-26 17:27:47.468124,0 days 00:00:00.948782,2.5748671259630483e-08,,entropy,19,0.8,12,4,best,0.7447586360556118,0.008768576589114573,"[0.753807366122647, 0.741929469492102, 0.7555713539939094, 0.7402793135716145, 0.7322056770977857]",COMPLETE
75,0.7272894733129499,2026-08-26 17:27:47.468505,2026-08-26 17:27:48.392691,0 days 00:00:00.924186,8.756133319549605e-05,,entropy,21,0.8,18,11,best,0.7272894733129499,0.010965074782983064,"[0.7336253988325474, 0.7134573976016405, 0.7450841917997911, 0.7222169804999402, 0.7220633978308305]",COMPLETE
76,0.7570490551328083,2026-08-26 17:27:48.393036,2026-08-26 17:27:49.378885,0 days 00:00:00.985849,3.505959951388766e-08,,log_loss,18,0.8,6,8,best,0.7570490551328083,0.007634047795470536,"[0.7657132903203147, 0.7554685635766857, 0.7661157759607455, 0.7481984758593674, 0.7497491699469282]",COMPLETE
77,0.7632270012808073,2026-08-26 17:27:49.379288,2026-08-26 17:27:50.388188,0 days 00:00:01.008900,1.0315345425232593e-09,,entropy,20,0.8,3,17,best,0.7632270012808073,0.010221294712615157,"[0.7719659461814206, 0.7661989334939926, 0.7700811581402371, 0.7643815116364903, 0.7435074569518959]",COMPLETE
78,0.7192914764363125,2026-08-26 17:27:50.388539,2026-08-26 17:27:51.545843,0 days 00:00:01.157304,1.141282756378174e-08,,entropy,15,,21,4,best,0.7192914764363125,0.011991413237279,"[0.7129625798953653, 0.7201031304513159, 0.7408350771699282, 0.7178245723114288, 0.7047320223535244]",COMPLETE
79,0.5617159475714806,2026-08-26 17:27:51.546152,2026-08-26 17:27:51.751914,0 days 00:00:00.205762,1.6976730996739493e-08,,entropy,2,0.8,9,10,best,0.5617159475714806,0.0029603867558337773,"[0.5652296019367694, 0.5632075662595587, 0.562105735022145, 0.5617150339249046, 0.556321800714025]",COMPLETE
80,0.7140605155771544,2026-08-26 17:27:51.752214,2026-08-26 17:27:52.009280,0 days 00:00:00.257066,2.4485029889770256e-09,,entropy,25,log2,7,26,best,0.7140605155771544,0.0102583930389026,"[0.7175187833569474, 0.7104050348063365, 0.7037914110093687, 0.7323440493081733, 0.7062432994049465]",COMPLETE
81,0.7657115298760065,2026-08-26 17:27:52.009595,2026-08-26 17:27:53.027095,0 days 00:00:01.017500,6.392224745521925e-09,,entropy,19,0.8,3,14,best,0.7657115298760065,0.007059226834187853,"[0.7743551998753823, 0.7678986846018662, 0.7552593299760035, 0.7600291955491402, 0.7710152393776407]",COMPLETE
82,0.7756802069602188,2026-08-26 17:27:53.027463,2026-08-26 17:27:54.055493,0 days 00:00:01.028030,8.431724883704028e-09,,entropy,19,0.8,1,7,best,0.7756802069602188,0.00751296657574981,"[0.773142034974708, 0.7790048972837962, 0.7828704356957029, 0.7812105994899999, 0.7621730673568865]",COMPLETE
