number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
70,0.7491348244605693,2026-08-27 05:39:24.402963,2026-08-27 05:39:25.400808,0 days 00:00:00.997845,2.0805707786681355e-06,,gini,29,,12,11,best,0.7491348244605693,0.007944135641010396,"[0.7535708426518758, 0.7622462460450431, 0.7398977514468009, 0.7435471247038823, 0.7464121574552448]",COMPLETE
71,0.7726891488004789,2026-08-27 05:39:25.401188,2026-08-27 05:39:26.478373,0 days 00:00:01.077185,1.1029306684334182e-06,,gini,25,,4,7,best,0.7726891488004789,0.006277316846702187,"[0.7738953465609887, 0.7821531904496862, 0.7628412290883517, 0.7701946131940444, 0.7743613647093235]",COMPLETE
72,0.5598179355248636,2026-08-27 05:39:26.478766,2026-08-27 05:39:26.924580,0 days 00:00:00.445814,0.00901446756896883,,gini,25,0.4,1,5,best,0.5598179355248636,0.007770744956390943,"[0.5456223683231575, 0.5634271679124353, 0.5648524400659934, 0.5674221036381651, 0.5577655976845663]",COMPLETE
73,0.7662955897205956,2026-08-27 05:39:26.924911,2026-08-27 05:39:27.977245,0 days 00:00:01.052334,1.400671180701797e-07,,gini,26,,6,8,best,0.7662955897205956,0.012161583837212296,"[0.766151688450631, 0.7852440661014124, 0.7493397576844818, 0.7586167390433242, 0.7721256973231285]",COMPLETE
74,0.7617354354213134,2026-08-27 05:39:27.977559,2026-08-27 05:39:29.006300,0 days 00:00:01.028741,5.9234191762027035e-06,,gini,27,,8,2,best,0.7617354354213134,0.007355427059034596,"[0.7667893962956699, 0.7735218487450357, 0.7533517912476237, 0.7574530076538935, 0.7575611331643444]",COMPLETE
75,0.7636779876215116,2026-08-27 05:39:29.006651,2026-08-27 05:39:29.855578,0 days 00:00:00.848927,1.7115622317712184e-06,,gini,23,0.8,3,12,best,0.7636779876215116,0.007797098509544826,"[0.7681414564520507, 0.7741825090299553, 0.752633598120925, 0.7570241545905428, 0.7664082199140841]",COMPLETE
76,0.7601623405155575,2026-08-27 05:39:29.855918,2026-08-27 05:39:30.901835,0 days 00:00:01.045917,4.882062987622376e-07,,gini,24,,6,20,best,0.7601623405155575,0.010255488528789734,"[0.7578831621250838, 0.7782207298203184, 0.7486828044856164, 0.752837959765781, 0.7631870463809883]",COMPLETE
77,0.7228099006786465,2026-08-27 05:39:30.902197,2026-08-27 05:39:31.121167,0 days 00:00:00.218970,8.147547155097882e-07,,gini,22,log2,3,15,best,0.7228099006786465,0.005627922024683843,"[0.7151188273106049, 0.7211986905000712, 0.7236743524461962, 0.7215391378725218, 0.7325184952638383]",COMPLETE
78,0.5735489320863933,2026-08-27 05:39:31.121459,2026-08-27 05:39:31.315756,0 days 00:00:00.194297,0.0017584005168835033,,gini,25,sqrt,10,65,best,0.5735489320863933,0.005974302108029367,"[0.5698392037629086, 0.5760881669678334, 0.5644976576699804, 0.582129959581494, 0.5751896724497502]",COMPLETE
79,0.7344372299335287,2026-08-27 05:39:31.316063,2026-08-27 05:39:32.281207,0 days 00:00:00.965144,1.6555178476038478e-06,,gini,21,,17,9,best,0.7344372299335287,0.01095878784203995,"[0.7408523871546523, 0.7521477093101742, 0.7230788249971599, 0.7238616355684467, 0.7322455926372101]",COMPLETE
