number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
50,0.8163423921884216,2026-08-25 16:31:36.189572,2026-08-25 16:32:01.712961,0 days 00:00:25.523389,True,,gini,,0.5,8,11,700,0.8163423921884216,0.005390905945017927,"[0.81276463054401, 0.8161325484371865, 0.8107949412187844, 0.8264006100683078, 0.8156192306738191]",COMPLETE
51,0.8609809666761776,2026-08-25 16:32:01.713308,2026-08-25 16:32:51.791069,0 days 00:00:50.077761,False,,entropy,,0.5,3,8,600,0.8609809666761776,0.006599277699074102,"[0.8643305581844395, 0.8712436832651397, 0.8531068335284179, 0.8614841126591064, 0.8547396457437851]",COMPLETE
52,0.8610021702049113,2026-08-25 16:32:51.791405,2026-08-25 16:33:33.369217,0 days 00:00:41.577812,False,,entropy,,0.5,3,6,500,0.8610021702049113,0.0057742226675265105,"[0.8631058721157863, 0.8692311429501394, 0.8528664947434668, 0.8635067293744315, 0.8563006118407324]",COMPLETE
53,0.8581964350289887,2026-08-25 16:33:33.369536,2026-08-25 16:34:14.451722,0 days 00:00:41.082186,False,,entropy,,0.5,4,6,500,0.8581964350289887,0.004752115360993108,"[0.8607211161180941, 0.8649645381469698, 0.8508097274200775, 0.858718482202852, 0.8557683112569506]",COMPLETE
54,0.8649054196602123,2026-08-25 16:34:14.452058,2026-08-25 16:34:56.765272,0 days 00:00:42.313214,False,,entropy,,0.5,2,4,500,0.8649054196602123,0.005345249857290337,"[0.8672406000212151, 0.8731615589460896, 0.8567680892390387, 0.8635935751363583, 0.8637632749583601]",COMPLETE
55,0.8187798608615766,2026-08-25 16:34:56.765600,2026-08-25 16:35:19.067538,0 days 00:00:22.301938,False,,entropy,12.0,0.5,2,3,300,0.8187798608615766,0.003967450893644375,"[0.817802457091458, 0.8239861750539926, 0.8169778134480534, 0.8222807745108215, 0.8128520842035581]",COMPLETE
56,0.8645771923902406,2026-08-25 16:35:19.067866,2026-08-25 16:35:54.171260,0 days 00:00:35.103394,False,balanced,entropy,,0.5,1,6,400,0.8645771923902406,0.0054058024322478065,"[0.8686924411186885, 0.8715572611892538, 0.8573522450729364, 0.8594196540591117, 0.8658643605112126]",COMPLETE
57,0.8655121988584534,2026-08-25 16:35:54.171608,2026-08-25 16:36:29.715031,0 days 00:00:35.543423,False,balanced,entropy,,0.5,1,4,400,0.8655121988584534,0.004926495514385586,"[0.8692321377079608, 0.8731035346845409, 0.8600571708728083, 0.8638047971498163, 0.8613633538771407]",COMPLETE
58,0.8578566914964597,2026-08-25 16:36:29.715366,2026-08-25 16:36:49.861699,0 days 00:00:20.146333,False,balanced,entropy,24.0,0.3,1,3,400,0.8578566914964597,0.0036333250994289193,"[0.8599348701265974, 0.8636155618164629, 0.8533923940795791, 0.8573753395325833, 0.8549652919270762]",COMPLETE
59,0.8581365149517761,2026-08-25 16:36:49.862041,2026-08-25 16:37:17.687508,0 days 00:00:27.825467,False,balanced,gini,,0.5,1,4,400,0.8581365149517761,0.0048934598847290055,"[0.8572495709363664, 0.865985907063966, 0.853553705974727, 0.8610391666935618, 0.8528542240902591]",COMPLETE
60,0.7700072572562336,2026-08-25 16:37:17.687858,2026-08-25 16:38:25.818910,0 days 00:01:08.131052,False,balanced,entropy,,1.0,1,7,400,0.7700072572562336,0.005014820525579527,"[0.767232809289769, 0.7641788921873394, 0.7769548687196846, 0.7666854260054482, 0.7749842900789276]",COMPLETE
61,0.8617423512863276,2026-08-25 16:38:25.819280,2026-08-25 16:38:51.968413,0 days 00:00:26.149133,False,balanced,entropy,,0.5,2,5,300,0.8617423512863276,0.006678262395091296,"[0.8650169652882745, 0.8709517214663092, 0.8513938832539755, 0.8636820291531354, 0.8576671572699434]",COMPLETE
62,0.8586561327638412,2026-08-25 16:38:51.968792,2026-08-25 16:39:18.005742,0 days 00:00:26.036950,False,balanced,entropy,,0.5,2,10,300,0.8586561327638412,0.005341162975827866,"[0.8610357304058702, 0.8667083410432738, 0.8503146807058268, 0.8571779694090664, 0.858043942255169]",COMPLETE
63,0.8645886755955372,2026-08-25 16:39:18.006072,2026-08-25 16:39:44.298491,0 days 00:00:26.292419,False,balanced,entropy,,0.5,2,6,300,0.8645886755955372,0.004683787043412964,"[0.8657543819089599, 0.872031728141883, 0.8573810665733147, 0.8638790267430431, 0.8638971746104852]",COMPLETE
64,0.8639595904384955,2026-08-25 16:39:44.298827,2026-08-25 16:40:10.814802,0 days 00:00:26.515975,False,balanced,entropy,,0.5,1,6,300,0.8639595904384955,0.004833273587083524,"[0.8685171413399844, 0.8705072614022757, 0.8578403186483295, 0.8601851969972264, 0.8627480338046615]",COMPLETE
65,0.6987850579683874,2026-08-25 16:40:10.815141,2026-08-25 16:40:28.150632,0 days 00:00:17.335491,False,balanced,entropy,8.0,0.5,2,7,300,0.6987850579683874,0.005777053000637028,"[0.7039049514060728, 0.6919374088816964, 0.7003385509598985, 0.6921142467174155, 0.7056301318768536]",COMPLETE
66,0.850033694045966,2026-08-25 16:40:28.150958,2026-08-25 16:40:38.839277,0 days 00:00:10.688319,False,balanced,entropy,,log2,1,3,300,0.850033694045966,0.003910706951307073,"[0.8514904957978282, 0.8557837419553368, 0.8472161137283757, 0.8512822570492081, 0.8443958616990811]",COMPLETE
67,0.8590424973891855,2026-08-25 16:40:38.839604,2026-08-25 16:41:14.147743,0 days 00:00:35.308139,False,balanced,log_loss,48.0,0.7,2,6,300,0.8590424973891855,0.005065206376428362,"[0.8570680605403891, 0.8684871344513884, 0.8532681454235657, 0.858642299079722, 0.8577468474508625]",COMPLETE
68,0.8178033190848865,2026-08-25 16:41:14.148121,2026-08-25 16:41:44.647511,0 days 00:00:30.499390,False,balanced,entropy,12.0,0.5,1,2,400,0.8178033190848865,0.0026406495896161303,"[0.8196646134744197, 0.8220504058357738, 0.8149834064712569, 0.8161139803467986, 0.8162041892961835]",COMPLETE
69,0.8571968613907435,2026-08-25 16:41:44.647848,2026-08-25 16:42:10.186683,0 days 00:00:25.538835,False,balanced,entropy,,0.5,4,9,300,0.8571968613907435,0.005133988991398759,"[0.859898694226569, 0.8630987083465324, 0.8477914559323283, 0.858258966538704, 0.8569364819095843]",COMPLETE
70,0.8427607116957938,2026-08-25 16:42:10.187002,2026-08-25 16:42:19.619971,0 days 00:00:09.432969,True,balanced,entropy,,0.3,2,4,300,0.8427607116957938,0.003938704230323352,"[0.8413478141810424, 0.8469249976628107, 0.841011434743427, 0.8474878159702869, 0.8370314959214021]",COMPLETE
71,0.8644708001563913,2026-08-25 16:42:19.620289,2026-08-25 16:42:55.365697,0 days 00:00:35.745408,False,balanced,entropy,,0.5,1,5,400,0.8644708001563913,0.0046667446491371,"[0.8664973956498895, 0.8723226951828922, 0.8586501702807526, 0.863156129817023, 0.8617276098513996]",COMPLETE
72,0.8644708001563913,2026-08-25 16:42:55.366031,2026-08-25 16:43:30.718203,0 days 00:00:35.352172,False,balanced,entropy,,0.5,1,5,400,0.8644708001563913,0.0046667446491371,"[0.8664973956498895, 0.8723226951828922, 0.8586501702807526, 0.863156129817023, 0.8617276098513996]",COMPLETE
73,0.8630132380565285,2026-08-25 16:43:30.718578,2026-08-25 16:44:05.925041,0 days 00:00:35.206463,False,balanced,entropy,,0.5,1,7,400,0.8630132380565285,0.005102875958151786,"[0.8656080942610301, 0.8705947206612317, 0.8550477429591057, 0.862121744819493, 0.8616938875817822]",COMPLETE
74,0.8630132380565285,2026-08-25 16:44:05.925372,2026-08-25 16:44:41.084042,0 days 00:00:35.158670,False,balanced,entropy,,0.5,1,7,400,0.8630132380565285,0.005102875958151786,"[0.8656080942610301, 0.8705947206612317, 0.8550477429591057, 0.862121744819493, 0.8616938875817822]",COMPLETE
75,0.860147171486734,2026-08-25 16:44:41.084388,2026-08-25 16:45:16.071320,0 days 00:00:34.986932,False,balanced,entropy,,0.5,1,11,400,0.860147171486734,0.0032760218417700565,"[0.8600299576272806, 0.8658770639159633, 0.8557333459355155, 0.8589928986371304, 0.8601025913177803]",COMPLETE
76,0.8047919163613997,2026-08-25 16:45:16.071660,2026-08-25 16:45:28.166194,0 days 00:00:12.094534,False,balanced,entropy,16.0,sqrt,13,9,400,0.8047919163613997,0.005064703849645543,"[0.8105584740464038, 0.8054028000906118, 0.7992987225149094, 0.8100094583557581, 0.7986901267993152]",COMPLETE
77,0.8649023397245139,2026-08-25 16:45:28.166519,2026-08-25 16:46:03.442043,0 days 00:00:35.275524,False,balanced,log_loss,32.0,0.5,1,6,400,0.8649023397245139,0.005301851424608079,"[0.868699646493783, 0.8718708391133679, 0.857585378482793, 0.8601709725736759, 0.8661848619589504]",COMPLETE
78,0.8641048696456913,2026-08-25 16:46:03.442381,2026-08-25 16:56:49.541306,0 days 00:10:46.098925,False,balanced,log_loss,32.0,0.5,2,3,500,0.8641048696456913,0.005919461066884093,"[0.8695021021207153, 0.8724907895865016, 0.8569800293902446, 0.8595890341878999, 0.8619623929430946]",COMPLETE
79,0.8641048696456913,2026-08-25 16:56:49.541636,2026-08-25 16:57:32.886967,0 days 00:00:43.345331,False,balanced,log_loss,32.0,0.5,2,3,500,0.8641048696456913,0.005919461066884093,"[0.8695021021207153, 0.8724907895865016, 0.8569800293902446, 0.8595890341878999, 0.8619623929430946]",COMPLETE
80,0.8641048696456913,2026-08-25 16:57:32.887303,2026-08-25 16:58:16.845757,0 days 00:00:43.958454,False,balanced,log_loss,32.0,0.5,2,4,500,0.8641048696456913,0.005919461066884093,"[0.8695021021207153, 0.8724907895865016, 0.8569800293902446, 0.8595890341878999, 0.8619623929430946]",COMPLETE
81,0.8641048696456913,2026-08-25 16:58:16.846093,2026-08-25 16:59:01.284393,0 days 00:00:44.438300,False,balanced,log_loss,32.0,0.5,2,2,500,0.8641048696456913,0.005919461066884093,"[0.8695021021207153, 0.8724907895865016, 0.8569800293902446, 0.8595890341878999, 0.8619623929430946]",COMPLETE
82,0.8574789609058943,2026-08-25 16:59:01.284723,2026-08-25 16:59:43.129336,0 days 00:00:41.844613,False,balanced,log_loss,32.0,0.5,4,3,500,0.8574789609058943,0.0045331159623420245,"[0.8592859491285298, 0.8641048623859141, 0.8513068468616524, 0.8590805485264824, 0.8536165976268929]",COMPLETE
83,0.8644474086981433,2026-08-25 16:59:43.129697,2026-08-25 17:00:18.132117,0 days 00:00:35.002420,False,balanced,log_loss,32.0,0.5,1,5,400,0.8644474086981433,0.004342049158076536,"[0.8664901902747948, 0.8718852498635571, 0.8595032541637431, 0.8623171614131069, 0.8620411877755139]",COMPLETE
84,0.8644474086981433,2026-08-25 17:00:18.132449,2026-08-25 17:00:53.200986,0 days 00:00:35.068537,False,balanced,log_loss,32.0,0.5,1,5,400,0.8644474086981433,0.004342049158076536,"[0.8664901902747948, 0.8718852498635571, 0.8595032541637431, 0.8623171614131069, 0.8620411877755139]",COMPLETE
85,0.8583964625698943,2026-08-25 17:00:53.201332,2026-08-25 17:01:39.983076,0 days 00:00:46.781744,False,balanced,log_loss,32.0,0.7,1,8,400,0.8583964625698943,0.0061750001262847005,"[0.8623844745001404, 0.8673861251475601, 0.8499642717788148, 0.8536234899486433, 0.8586239514743131]",COMPLETE
